from_asset,to_asset,initial_export_units,initial_import_units,commission_year,decommissionable,milestone_year
DE_Pump_Hydro_Closed,DE_E_Balance,0.0,0.0,2050,false,2050
DE_E_Balance,DE_Pump_Hydro_Open,0.0,0.0,2050,false,2050
DE_Pump_Hydro_Open,DE_E_Balance,0.0,0.0,2050,false,2050
DE_Coal,DE_E_Balance,0.0,0.0,2050,false,2050
DE_Gas,DE_E_Balance,0.0,0.0,2050,false,2050
DE_OCGT,DE_E_Balance,0.0,0.0,2050,false,2050
FR_E_Balance,FR_E_Demand,0.0,0.0,2050,false,2050
FR_E_ENS,FR_E_Demand,0.0,0.0,2050,false,2050
FR_Wind_Onshore,FR_E_Balance,0.0,0.0,2050,false,2050
FR_Wind_Offshore,FR_E_Balance,0.0,0.0,2050,false,2050
FR_Solar,FR_E_Balance,0.0,0.0,2050,false,2050
FR_Hydro,FR_E_Balance,0.0,0.0,2050,false,2050
FR_Hydro_Reservoir,FR_E_Balance,0.0,0.0,2050,false,2050
FR_Nuclear,FR_E_Balance,0.0,0.0,2050,false,2050
FR_E_Balance,FR_Pump_Hydro_Closed,0.0,0.0,2050,false,2050
FR_Pump_Hydro_Closed,FR_E_Balance,0.0,0.0,2050,false,2050
FR_E_Balance,FR_Pump_Hydro_Open,0.0,0.0,2050,false,2050
FR_Pump_Hydro_Open,FR_E_Balance,0.0,0.0,2050,false,2050
FR_Gas,FR_E_Balance,0.0,0.0,2050,false,2050
FR_OCGT,FR_E_Balance,0.0,0.0,2050,false,2050
DK_E_Balance,DK_E_Demand,0.0,0.0,2050,false,2050
DK_E_ENS,DK_E_Demand,0.0,0.0,2050,false,2050
DK_Wind_Onshore,DK_E_Balance,0.0,0.0,2050,false,2050
DK_Wind_Offshore,DK_E_Balance,0.0,0.0,2050,false,2050
DK_Solar,DK_E_Balance,0.0,0.0,2050,false,2050
DK_Gas,DK_E_Balance,0.0,0.0,2050,false,2050
DK_OCGT,DK_E_Balance,0.0,0.0,2050,false,2050
UK_E_Balance,UK_E_Demand,0.0,0.0,2050,false,2050
UK_E_ENS,UK_E_Demand,0.0,0.0,2050,false,2050
UK_Wind_Onshore,UK_E_Balance,0.0,0.0,2050,false,2050
UK_Wind_Offshore,UK_E_Balance,0.0,0.0,2050,false,2050
UK_Solar,UK_E_Balance,0.0,0.0,2050,false,2050
UK_Hydro,UK_E_Balance,0.0,0.0,2050,false,2050
UK_Nuclear,UK_E_Balance,0.0,0.0,2050,false,2050
UK_E_Balance,UK_Battery,0.0,0.0,2050,false,2050
UK_Battery,UK_E_Balance,0.0,0.0,2050,false,2050
UK_E_Balance,UK_Pump_Hydro_Closed,0.0,0.0,2050,false,2050
UK_Pump_Hydro_Closed,UK_E_Balance,0.0,0.0,2050,false,2050
UK_Gas,UK_E_Balance,0.0,0.0,2050,false,2050
UK_OCGT,UK_E_Balance,0.0,0.0,2050,false,2050
IE_E_Balance,IE_E_Demand,0.0,0.0,2050,false,2050
IE_E_ENS,IE_E_Demand,0.0,0.0,2050,false,2050
IE_Wind_Onshore,IE_E_Balance,0.0,0.0,2050,false,2050
IE_Wind_Offshore,IE_E_Balance,0.0,0.0,2050,false,2050
IE_Solar,IE_E_Balance,0.0,0.0,2050,false,2050
IE_Hydro,IE_E_Balance,0.0,0.0,2050,false,2050
IE_E_Balance,IE_Battery,0.0,0.0,2050,false,2050
IE_Battery,IE_E_Balance,0.0,0.0,2050,false,2050
IE_E_Balance,IE_Pump_Hydro_Closed,0.0,0.0,2050,false,2050
IE_Pump_Hydro_Closed,IE_E_Balance,0.0,0.0,2050,false,2050
IE_Gas,IE_E_Balance,0.0,0.0,2050,false,2050
IE_OCGT,IE_E_Balance,0.0,0.0,2050,false,2050
CH_E_Balance,CH_E_Demand,0.0,0.0,2050,false,2050
CH_E_ENS,CH_E_Demand,0.0,0.0,2050,false,2050
CH_Wind_Onshore,CH_E_Balance,0.0,0.0,2050,false,2050
CH_Solar,CH_E_Balance,0.0,0.0,2050,false,2050
CH_Hydro,CH_E_Balance,0.0,0.0,2050,false,2050
CH_Nuclear,CH_E_Balance,0.0,0.0,2050,false,2050
CH_E_Balance,CH_Battery,0.0,0.0,2050,false,2050
CH_Battery,CH_E_Balance,0.0,0.0,2050,false,2050
CH_E_Balance,CH_Pump_Hydro_Closed,0.0,0.0,2050,false,2050
CH_Pump_Hydro_Closed,CH_E_Balance,0.0,0.0,2050,false,2050
CH_E_Balance,CH_Pump_Hydro_Open,0.0,0.0,2050,false,2050
CH_Pump_Hydro_Open,CH_E_Balance,0.0,0.0,2050,false,2050
AT_E_Balance,AT_E_Demand,0.0,0.0,2050,false,2050
AT_E_ENS,AT_E_Demand,0.0,0.0,2050,false,2050
AT_Wind_Onshore,AT_E_Balance,0.0,0.0,2050,false,2050
AT_Solar,AT_E_Balance,0.0,0.0,2050,false,2050
AT_Hydro,AT_E_Balance,0.0,0.0,2050,false,2050
AT_Hydro_Reservoir,AT_E_Balance,0.0,0.0,2050,false,2050
AT_E_Balance,AT_Battery,0.0,0.0,2050,false,2050
AT_Battery,AT_E_Balance,0.0,0.0,2050,false,2050
AT_E_Balance,AT_Pump_Hydro_Closed,0.0,0.0,2050,false,2050
AT_Pump_Hydro_Closed,AT_E_Balance,0.0,0.0,2050,false,2050
AT_E_Balance,AT_Pump_Hydro_Open,0.0,0.0,2050,false,2050
AT_Pump_Hydro_Open,AT_E_Balance,0.0,0.0,2050,false,2050
AT_Gas,AT_E_Balance,0.0,0.0,2050,false,2050
LU_E_Balance,LU_E_Demand,0.0,0.0,2050,false,2050
LU_E_ENS,LU_E_Demand,0.0,0.0,2050,false,2050
LU_Wind_Onshore,LU_E_Balance,0.0,0.0,2050,false,2050
LU_Solar,LU_E_Balance,0.0,0.0,2050,false,2050
LU_Hydro,LU_E_Balance,0.0,0.0,2050,false,2050
LU_E_Balance,LU_Pump_Hydro_Closed,0.0,0.0,2050,false,2050
LU_Pump_Hydro_Closed,LU_E_Balance,0.0,0.0,2050,false,2050
CZ_E_Balance,CZ_E_Demand,0.0,0.0,2050,false,2050
CZ_E_ENS,CZ_E_Demand,0.0,0.0,2050,false,2050
CZ_Wind_Onshore,CZ_E_Balance,0.0,0.0,2050,false,2050
CZ_Solar,CZ_E_Balance,0.0,0.0,2050,false,2050
CZ_Hydro,CZ_E_Balance,0.0,0.0,2050,false,2050
CZ_Hydro_Reservoir,CZ_E_Balance,0.0,0.0,2050,false,2050
CZ_Nuclear,CZ_E_Balance,0.0,0.0,2050,false,2050
CZ_E_Balance,CZ_Battery,0.0,0.0,2050,false,2050
CZ_Battery,CZ_E_Balance,0.0,0.0,2050,false,2050
CZ_E_Balance,CZ_Pump_Hydro_Closed,0.0,0.0,2050,false,2050
CZ_Pump_Hydro_Closed,CZ_E_Balance,0.0,0.0,2050,false,2050
CZ_E_Balance,CZ_Pump_Hydro_Open,0.0,0.0,2050,false,2050
CZ_Pump_Hydro_Open,CZ_E_Balance,0.0,0.0,2050,false,2050
CZ_Coal,CZ_E_Balance,0.0,0.0,2050,false,2050
CZ_Gas,CZ_E_Balance,0.0,0.0,2050,false,2050
PL_E_Balance,PL_E_Demand,0.0,0.0,2050,false,2050
PL_E_ENS,PL_E_Demand,0.0,0.0,2050,false,2050
PL_Wind_Onshore,PL_E_Balance,0.0,0.0,2050,false,2050
PL_Wind_Offshore,PL_E_Balance,0.0,0.0,2050,false,2050
PL_Solar,PL_E_Balance,0.0,0.0,2050,false,2050
PL_Hydro,PL_E_Balance,0.0,0.0,2050,false,2050
PL_Hydro_Reservoir,PL_E_Balance,0.0,0.0,2050,false,2050
PL_E_Balance,PL_Pump_Hydro_Closed,0.0,0.0,2050,false,2050
PL_Pump_Hydro_Closed,PL_E_Balance,0.0,0.0,2050,false,2050
PL_E_Balance,PL_Pump_Hydro_Open,0.0,0.0,2050,false,2050
PL_Pump_Hydro_Open,PL_E_Balance,0.0,0.0,2050,false,2050
PL_Coal,PL_E_Balance,0.0,0.0,2050,false,2050
PL_Gas,PL_E_Balance,0.0,0.0,2050,false,2050
SE_E_Balance,SE_E_Demand,0.0,0.0,2050,false,2050
SE_E_ENS,SE_E_Demand,0.0,0.0,2050,false,2050
SE_Wind_Onshore,SE_E_Balance,0.0,0.0,2050,false,2050
SE_Wind_Offshore,SE_E_Balance,0.0,0.0,2050,false,2050
SE_Solar,SE_E_Balance,0.0,0.0,2050,false,2050
SE_Hydro_Reservoir,SE_E_Balance,0.0,0.0,2050,false,2050
SE_Nuclear,SE_E_Balance,0.0,0.0,2050,false,2050
SE_E_Balance,SE_Battery,0.0,0.0,2050,false,2050
SE_Battery,SE_E_Balance,0.0,0.0,2050,false,2050
SE_Gas,SE_E_Balance,0.0,0.0,2050,false,2050
SE_OCGT,SE_E_Balance,0.0,0.0,2050,false,2050
NO_E_Balance,NO_E_Demand,0.0,0.0,2050,false,2050
NO_E_ENS,NO_E_Demand,0.0,0.0,2050,false,2050
NO_Wind_Onshore,NO_E_Balance,0.0,0.0,2050,false,2050
NO_Wind_Offshore,NO_E_Balance,0.0,0.0,2050,false,2050
NO_Solar,NO_E_Balance,0.0,0.0,2050,false,2050
NO_E_Balance,NO_Pump_Hydro_Open,0.0,0.0,2050,false,2050
NO_Pump_Hydro_Open,NO_E_Balance,0.0,0.0,2050,false,2050
NO_Hydro_Reservoir,NO_E_Balance,0.0,0.0,2050,false,2050
ES_E_Balance,ES_E_Demand,0.0,0.0,2050,false,2050
ES_E_ENS,ES_E_Demand,0.0,0.0,2050,false,2050
ES_Wind_Onshore,ES_E_Balance,0.0,0.0,2050,false,2050
ES_Wind_Offshore,ES_E_Balance,0.0,0.0,2050,false,2050
ES_Solar,ES_E_Balance,0.0,0.0,2050,false,2050
ES_Hydro,ES_E_Balance,0.0,0.0,2050,false,2050
ES_Hydro_Reservoir,ES_E_Balance,0.0,0.0,2050,false,2050
ES_Nuclear,ES_E_Balance,0.0,0.0,2050,false,2050
ES_E_Balance,ES_Battery,0.0,0.0,2050,false,2050
ES_Battery,ES_E_Balance,0.0,0.0,2050,false,2050
ES_E_Balance,ES_Pump_Hydro_Closed,0.0,0.0,2050,false,2050
ES_Pump_Hydro_Closed,ES_E_Balance,0.0,0.0,2050,false,2050
ES_E_Balance,ES_Pump_Hydro_Open,0.0,0.0,2050,false,2050
ES_Pump_Hydro_Open,ES_E_Balance,0.0,0.0,2050,false,2050
ES_Gas,ES_E_Balance,0.0,0.0,2050,false,2050
PT_E_Balance,PT_E_Demand,0.0,0.0,2050,false,2050
PT_E_ENS,PT_E_Demand,0.0,0.0,2050,false,2050
PT_Wind_Onshore,PT_E_Balance,0.0,0.0,2050,false,2050
PT_Wind_Offshore,PT_E_Balance,0.0,0.0,2050,false,2050
PT_Solar,PT_E_Balance,0.0,0.0,2050,false,2050
PT_Hydro,PT_E_Balance,0.0,0.0,2050,false,2050
PT_Hydro_Reservoir,PT_E_Balance,0.0,0.0,2050,false,2050
PT_E_Balance,PT_Pump_Hydro_Open,0.0,0.0,2050,false,2050
PT_Pump_Hydro_Open,PT_E_Balance,0.0,0.0,2050,false,2050
PT_Gas,PT_E_Balance,0.0,0.0,2050,false,2050
IT_E_Balance,IT_E_Demand,0.0,0.0,2050,false,2050
IT_E_ENS,IT_E_Demand,0.0,0.0,2050,false,2050
IT_Wind_Onshore,IT_E_Balance,0.0,0.0,2050,false,2050
IT_Wind_Offshore,IT_E_Balance,0.0,0.0,2050,false,2050
IT_Solar,IT_E_Balance,0.0,0.0,2050,false,2050
IT_Hydro,IT_E_Balance,0.0,0.0,2050,false,2050
IT_Hydro_Reservoir,IT_E_Balance,0.0,0.0,2050,false,2050
IT_E_Balance,IT_Battery,0.0,0.0,2050,false,2050
IT_Battery,IT_E_Balance,0.0,0.0,2050,false,2050
IT_E_Balance,IT_Pump_Hydro_Closed,0.0,0.0,2050,false,2050
IT_Pump_Hydro_Closed,IT_E_Balance,0.0,0.0,2050,false,2050
IT_E_Balance,IT_Pump_Hydro_Open,0.0,0.0,2050,false,2050
IT_Pump_Hydro_Open,IT_E_Balance,0.0,0.0,2050,false,2050
IT_Gas,IT_E_Balance,0.0,0.0,2050,false,2050
IT_OCGT,IT_E_Balance,0.0,0.0,2050,false,2050
MT_E_Balance,MT_E_Demand,0.0,0.0,2050,false,2050
MT_E_ENS,MT_E_Demand,0.0,0.0,2050,false,2050
MT_Solar,MT_E_Balance,0.0,0.0,2050,false,2050
MT_Gas,MT_E_Balance,0.0,0.0,2050,false,2050
SI_E_Balance,SI_E_Demand,0.0,0.0,2050,false,2050
SI_E_ENS,SI_E_Demand,0.0,0.0,2050,false,2050
SI_Wind_Onshore,SI_E_Balance,0.0,0.0,2050,false,2050
SI_Wind_Offshore,SI_E_Balance,0.0,0.0,2050,false,2050
SI_Solar,SI_E_Balance,0.0,0.0,2050,false,2050
SI_Hydro,SI_E_Balance,0.0,0.0,2050,false,2050
SI_Nuclear,SI_E_Balance,0.0,0.0,2050,false,2050
SI_E_Balance,SI_Battery,0.0,0.0,2050,false,2050
SI_Battery,SI_E_Balance,0.0,0.0,2050,false,2050
SI_E_Balance,SI_Pump_Hydro_Closed,0.0,0.0,2050,false,2050
SI_Pump_Hydro_Closed,SI_E_Balance,0.0,0.0,2050,false,2050
SI_Coal,SI_E_Balance,0.0,0.0,2050,false,2050
SI_Gas,SI_E_Balance,0.0,0.0,2050,false,2050
SI_OCGT,SI_E_Balance,0.0,0.0,2050,false,2050
HU_E_Balance,HU_E_Demand,0.0,0.0,2050,false,2050
HU_E_ENS,HU_E_Demand,0.0,0.0,2050,false,2050
HU_Wind_Onshore,HU_E_Balance,0.0,0.0,2050,false,2050
HU_Solar,HU_E_Balance,0.0,0.0,2050,false,2050
HU_Hydro,HU_E_Balance,0.0,0.0,2050,false,2050
HU_Nuclear,HU_E_Balance,0.0,0.0,2050,false,2050
HU_E_Balance,HU_Battery,0.0,0.0,2050,false,2050
HU_Battery,HU_E_Balance,0.0,0.0,2050,false,2050
HU_Gas,HU_E_Balance,0.0,0.0,2050,false,2050
HU_OCGT,HU_E_Balance,0.0,0.0,2050,false,2050
SK_E_Balance,SK_E_Demand,0.0,0.0,2050,false,2050
SK_E_ENS,SK_E_Demand,0.0,0.0,2050,false,2050
SK_Wind_Onshore,SK_E_Balance,0.0,0.0,2050,false,2050
SK_Solar,SK_E_Balance,0.0,0.0,2050,false,2050
SK_Hydro,SK_E_Balance,0.0,0.0,2050,false,2050
SK_Hydro_Reservoir,SK_E_Balance,0.0,0.0,2050,false,2050
SK_Nuclear,SK_E_Balance,0.0,0.0,2050,false,2050
SK_E_Balance,SK_Pump_Hydro_Closed,0.0,0.0,2050,false,2050
SK_Pump_Hydro_Closed,SK_E_Balance,0.0,0.0,2050,false,2050
SK_E_Balance,SK_Pump_Hydro_Open,0.0,0.0,2050,false,2050
SK_Pump_Hydro_Open,SK_E_Balance,0.0,0.0,2050,false,2050
SK_Coal,SK_E_Balance,0.0,0.0,2050,false,2050
SK_Gas,SK_E_Balance,0.0,0.0,2050,false,2050
LT_E_Balance,LT_E_Demand,0.0,0.0,2050,false,2050
LT_E_ENS,LT_E_Demand,0.0,0.0,2050,false,2050
LT_Wind_Onshore,LT_E_Balance,0.0,0.0,2050,false,2050
LT_Wind_Offshore,LT_E_Balance,0.0,0.0,2050,false,2050
LT_Solar,LT_E_Balance,0.0,0.0,2050,false,2050
LT_Hydro,LT_E_Balance,0.0,0.0,2050,false,2050
LT_E_Balance,LT_Battery,0.0,0.0,2050,false,2050
LT_Battery,LT_E_Balance,0.0,0.0,2050,false,2050
LT_E_Balance,LT_Pump_Hydro_Closed,0.0,0.0,2050,false,2050
LT_Pump_Hydro_Closed,LT_E_Balance,0.0,0.0,2050,false,2050
LT_Gas,LT_E_Balance,0.0,0.0,2050,false,2050
LV_E_Balance,LV_E_Demand,0.0,0.0,2050,false,2050
LV_E_ENS,LV_E_Demand,0.0,0.0,2050,false,2050
LV_Wind_Onshore,LV_E_Balance,0.0,0.0,2050,false,2050
LV_Wind_Offshore,LV_E_Balance,0.0,0.0,2050,false,2050
LV_Solar,LV_E_Balance,0.0,0.0,2050,false,2050
LV_Hydro,LV_E_Balance,0.0,0.0,2050,false,2050
LV_Gas,LV_E_Balance,0.0,0.0,2050,false,2050
EE_E_Balance,EE_E_Demand,0.0,0.0,2050,false,2050
EE_E_ENS,EE_E_Demand,0.0,0.0,2050,false,2050
EE_Wind_Onshore,EE_E_Balance,0.0,0.0,2050,false,2050
EE_Wind_Offshore,EE_E_Balance,0.0,0.0,2050,false,2050
EE_Solar,EE_E_Balance,0.0,0.0,2050,false,2050
FI_E_Balance,FI_E_Demand,0.0,0.0,2050,false,2050
FI_E_ENS,FI_E_Demand,0.0,0.0,2050,false,2050
FI_Wind_Onshore,FI_E_Balance,0.0,0.0,2050,false,2050
FI_Wind_Offshore,FI_E_Balance,0.0,0.0,2050,false,2050
FI_Solar,FI_E_Balance,0.0,0.0,2050,false,2050
FI_Hydro_Reservoir,FI_E_Balance,0.0,0.0,2050,false,2050
FI_Nuclear,FI_E_Balance,0.0,0.0,2050,false,2050
FI_E_Balance,FI_Battery,0.0,0.0,2050,false,2050
FI_Battery,FI_E_Balance,0.0,0.0,2050,false,2050
FI_Gas,FI_E_Balance,0.0,0.0,2050,false,2050
FI_OCGT,FI_E_Balance,0.0,0.0,2050,false,2050
HR_E_Balance,HR_E_Demand,0.0,0.0,2050,false,2050
HR_E_ENS,HR_E_Demand,0.0,0.0,2050,false,2050
HR_Wind_Onshore,HR_E_Balance,0.0,0.0,2050,false,2050
HR_Wind_Offshore,HR_E_Balance,0.0,0.0,2050,false,2050
HR_Solar,HR_E_Balance,0.0,0.0,2050,false,2050
HR_Hydro,HR_E_Balance,0.0,0.0,2050,false,2050
HR_Hydro_Reservoir,HR_E_Balance,0.0,0.0,2050,false,2050
HR_E_Balance,HR_Battery,0.0,0.0,2050,false,2050
HR_Battery,HR_E_Balance,0.0,0.0,2050,false,2050
HR_E_Balance,HR_Pump_Hydro_Open,0.0,0.0,2050,false,2050
HR_Pump_Hydro_Open,HR_E_Balance,0.0,0.0,2050,false,2050
HR_Coal,HR_E_Balance,0.0,0.0,2050,false,2050
HR_Gas,HR_E_Balance,0.0,0.0,2050,false,2050
GR_E_Balance,GR_E_Demand,0.0,0.0,2050,false,2050
GR_E_ENS,GR_E_Demand,0.0,0.0,2050,false,2050
GR_Wind_Onshore,GR_E_Balance,0.0,0.0,2050,false,2050
GR_Wind_Offshore,GR_E_Balance,0.0,0.0,2050,false,2050
GR_Solar,GR_E_Balance,0.0,0.0,2050,false,2050
GR_Hydro,GR_E_Balance,0.0,0.0,2050,false,2050
GR_Hydro_Reservoir,GR_E_Balance,0.0,0.0,2050,false,2050
GR_E_Balance,GR_Battery,0.0,0.0,2050,false,2050
GR_Battery,GR_E_Balance,0.0,0.0,2050,false,2050
GR_E_Balance,GR_Pump_Hydro_Closed,0.0,0.0,2050,false,2050
GR_Pump_Hydro_Closed,GR_E_Balance,0.0,0.0,2050,false,2050
GR_E_Balance,GR_Pump_Hydro_Open,0.0,0.0,2050,false,2050
GR_Pump_Hydro_Open,GR_E_Balance,0.0,0.0,2050,false,2050
GR_Gas,GR_E_Balance,0.0,0.0,2050,false,2050
GR_OCGT,GR_E_Balance,0.0,0.0,2050,false,2050
BG_E_Balance,BG_E_Demand,0.0,0.0,2050,false,2050
BG_E_ENS,BG_E_Demand,0.0,0.0,2050,false,2050
BG_Wind_Onshore,BG_E_Balance,0.0,0.0,2050,false,2050
BG_Solar,BG_E_Balance,0.0,0.0,2050,false,2050
BG_Hydro,BG_E_Balance,0.0,0.0,2050,false,2050
BG_Hydro_Reservoir,BG_E_Balance,0.0,0.0,2050,false,2050
BG_Nuclear,BG_E_Balance,0.0,0.0,2050,false,2050
BG_E_Balance,BG_Pump_Hydro_Closed,0.0,0.0,2050,false,2050
BG_Pump_Hydro_Closed,BG_E_Balance,0.0,0.0,2050,false,2050
BG_E_Balance,BG_Pump_Hydro_Open,0.0,0.0,2050,false,2050
BG_Pump_Hydro_Open,BG_E_Balance,0.0,0.0,2050,false,2050
BG_Coal,BG_E_Balance,0.0,0.0,2050,false,2050
BG_Gas,BG_E_Balance,0.0,0.0,2050,false,2050
BG_OCGT,BG_E_Balance,0.0,0.0,2050,false,2050
RO_E_Balance,RO_E_Demand,0.0,0.0,2050,false,2050
RO_E_ENS,RO_E_Demand,0.0,0.0,2050,false,2050
RO_Wind_Onshore,RO_E_Balance,0.0,0.0,2050,false,2050
RO_Wind_Offshore,RO_E_Balance,0.0,0.0,2050,false,2050
RO_Solar,RO_E_Balance,0.0,0.0,2050,false,2050
RO_Hydro,RO_E_Balance,0.0,0.0,2050,false,2050
RO_Hydro_Reservoir,RO_E_Balance,0.0,0.0,2050,false,2050
RO_Nuclear,RO_E_Balance,0.0,0.0,2050,false,2050
RO_E_Balance,RO_Battery,0.0,0.0,2050,false,2050
RO_Battery,RO_E_Balance,0.0,0.0,2050,false,2050
RO_E_Balance,RO_Pump_Hydro_Open,0.0,0.0,2050,false,2050
RO_Pump_Hydro_Open,RO_E_Balance,0.0,0.0,2050,false,2050
RO_Coal,RO_E_Balance,0.0,0.0,2050,false,2050
RO_Gas,RO_E_Balance,0.0,0.0,2050,false,2050
RO_OCGT,RO_E_Balance,0.0,0.0,2050,false,2050
CY_E_Balance,CY_E_Demand,0.0,0.0,2050,false,2050
CY_E_ENS,CY_E_Demand,0.0,0.0,2050,false,2050
CY_Wind_Onshore,CY_E_Balance,0.0,0.0,2050,false,2050
CY_Solar,CY_E_Balance,0.0,0.0,2050,false,2050
CY_E_Balance,CY_Battery,0.0,0.0,2050,false,2050
CY_Battery,CY_E_Balance,0.0,0.0,2050,false,2050
CY_Gas,CY_E_Balance,0.0,0.0,2050,false,2050
DK_Battery,DK_E_Balance,0.0,0.0,2050,false,2050
BG_Battery,BG_E_Balance,0.0,0.0,2050,false,2050
FR_Battery,FR_E_Balance,0.0,0.0,2050,false,2050
LV_Battery,LV_E_Balance,0.0,0.0,2050,false,2050
PT_Battery,PT_E_Balance,0.0,0.0,2050,false,2050
SK_Battery,SK_E_Balance,0.0,0.0,2050,false,2050
OBZLL_Wind_Offshore,OBZLL_E_Balance,0.0,0.0,2050,false,2050
NL_E_Balance,NL_electrolyzer,0.0,0.0,2050,false,2050
NL_electrolyzer,NL_H_Demand,0.0,0.0,2050,false,2050
EU_SMR_CCS,NL_H_Demand,0.0,0.0,2050,false,2050
BE_E_Balance,BE_electrolyzer,0.0,0.0,2050,false,2050
BE_electrolyzer,BE_H_Demand,0.0,0.0,2050,false,2050
EU_SMR_CCS,BE_H_Demand,0.0,0.0,2050,false,2050
DE_E_Balance,DE_electrolyzer,0.0,0.0,2050,false,2050
DE_electrolyzer,DE_H_Demand,0.0,0.0,2050,false,2050
EU_SMR_CCS,DE_H_Demand,0.0,0.0,2050,false,2050
FR_E_Balance,FR_electrolyzer,0.0,0.0,2050,false,2050
FR_electrolyzer,FR_H_Demand,0.0,0.0,2050,false,2050
EU_SMR_CCS,FR_H_Demand,0.0,0.0,2050,false,2050
DK_E_Balance,DK_electrolyzer,0.0,0.0,2050,false,2050
DK_electrolyzer,DK_H_Demand,0.0,0.0,2050,false,2050
EU_SMR_CCS,DK_H_Demand,0.0,0.0,2050,false,2050
UK_E_Balance,UK_electrolyzer,0.0,0.0,2050,false,2050
UK_electrolyzer,UK_H_Demand,0.0,0.0,2050,false,2050
EU_SMR_CCS,UK_H_Demand,0.0,0.0,2050,false,2050
IE_E_Balance,IE_electrolyzer,0.0,0.0,2050,false,2050
IE_electrolyzer,IE_H_Demand,0.0,0.0,2050,false,2050
EU_SMR_CCS,IE_H_Demand,0.0,0.0,2050,false,2050
CH_E_Balance,CH_electrolyzer,0.0,0.0,2050,false,2050
CH_electrolyzer,CH_H_Demand,0.0,0.0,2050,false,2050
EU_SMR_CCS,CH_H_Demand,0.0,0.0,2050,false,2050
AT_E_Balance,AT_electrolyzer,0.0,0.0,2050,false,2050
AT_electrolyzer,AT_H_Demand,0.0,0.0,2050,false,2050
EU_SMR_CCS,AT_H_Demand,0.0,0.0,2050,false,2050
LU_E_Balance,LU_electrolyzer,0.0,0.0,2050,false,2050
LU_electrolyzer,LU_H_Demand,0.0,0.0,2050,false,2050
EU_SMR_CCS,LU_H_Demand,0.0,0.0,2050,false,2050
CZ_E_Balance,CZ_electrolyzer,0.0,0.0,2050,false,2050
CZ_electrolyzer,CZ_H_Demand,0.0,0.0,2050,false,2050
EU_SMR_CCS,CZ_H_Demand,0.0,0.0,2050,false,2050
PL_E_Balance,PL_electrolyzer,0.0,0.0,2050,false,2050
PL_electrolyzer,PL_H_Demand,0.0,0.0,2050,false,2050
EU_SMR_CCS,PL_H_Demand,0.0,0.0,2050,false,2050
SE_E_Balance,SE_electrolyzer,0.0,0.0,2050,false,2050
SE_electrolyzer,SE_H_Demand,0.0,0.0,2050,false,2050
EU_SMR_CCS,SE_H_Demand,0.0,0.0,2050,false,2050
NO_E_Balance,NO_electrolyzer,0.0,0.0,2050,false,2050
NO_electrolyzer,NO_H_Demand,0.0,0.0,2050,false,2050
EU_SMR_CCS,NO_H_Demand,0.0,0.0,2050,false,2050
ES_E_Balance,ES_electrolyzer,0.0,0.0,2050,false,2050
ES_electrolyzer,ES_H_Demand,0.0,0.0,2050,false,2050
EU_SMR_CCS,ES_H_Demand,0.0,0.0,2050,false,2050
PT_E_Balance,PT_electrolyzer,0.0,0.0,2050,false,2050
PT_electrolyzer,PT_H_Demand,0.0,0.0,2050,false,2050
EU_SMR_CCS,PT_H_Demand,0.0,0.0,2050,false,2050
